timestamp,Date,Time,Indoor-Temp(°C),Humidity(%),CO2(ppm),Weather,Control,temperature_2m (°C),relative_humidity_2m (%),direct_radiation (W/m²),diffuse_radiation (W/m²),dew_point_2m (°C),apparent_temperature (°C),precipitation (mm),rain (mm),snowfall (cm),snow_depth (m),weather_code (wmo code),pressure_msl (hPa),surface_pressure (hPa),cloud_cover (%),cloud_cover_low (%),cloud_cover_mid (%),cloud_cover_high (%),et0_fao_evapotranspiration (mm),vapour_pressure_deficit (kPa),wind_gusts_10m (km/h),wind_direction_100m (°),wind_speed_10m (km/h),wind_speed_100m (km/h),wind_direction_10m (°),soil_temperature_0_to_7cm (°C),soil_temperature_7_to_28cm (°C),soil_temperature_28_to_100cm (°C),soil_temperature_100_to_255cm (°C),soil_moisture_0_to_7cm (m³/m³),soil_moisture_7_to_28cm (m³/m³),soil_moisture_28_to_100cm (m³/m³),soil_moisture_100_to_255cm (m³/m³),shortwave_radiation (W/m²),direct_normal_irradiance (W/m²),global_tilted_irradiance (W/m²),terrestrial_radiation (W/m²),terrestrial_radiation_instant (W/m²),global_tilted_irradiance_instant (W/m²),direct_normal_irradiance_instant (W/m²),diffuse_radiation_instant (W/m²),direct_radiation_instant (W/m²),shortwave_radiation_instant (W/m²)
2024-07-01 00:00:00,45474.0,0.0,20.2,64.5,2252,暴雨~大雨,PID,26.2,87.0,19.0,150.0,23.8,30.1,0.0,0.0,0.0,0.0,3.0,1001.5,999.2,100.0,100.0,1.0,0.0,0.13,0.45,26.6,194.0,14.8,19.6,194.0,25.7,25.4,23.0,18.2,0.391,0.405,0.395,0.296,169.0,39.7,169.0,632.9,757.1,202.2,47.5,179.4,22.7,202.2
2024-07-01 00:30:00,45474.0,0.0208333333333333,20.1,64.7,2147,暴雨~大雨,PID,26.25,87.5,27.5,158.0,24.0,30.200000000000003,0.1,0.1,0.0,0.0,27.0,1001.3,999.0,100.0,100.0,15.5,38.5,0.14,0.42500000000000004,27.0,183.0,15.05,20.15,182.5,25.85,25.4,23.0,18.2,0.3925,0.405,0.395,0.296,185.5,47.2,185.5,751.5999999999999,866.9000000000001,214.45,54.45,182.85000000000002,31.549999999999997,214.45
2024-07-01 01:00:00,45474.0,0.0416666666666667,20,65.0,2220,暴雨~大雨,PID,26.3,88.0,36.0,166.0,24.2,30.3,0.2,0.2,0.0,0.0,51.0,1001.1,998.8,100.0,100.0,30.0,77.0,0.15,0.4,27.4,172.0,15.3,20.7,171.0,26.0,25.4,23.0,18.2,0.394,0.405,0.395,0.296,202.0,54.7,202.0,870.3,976.7,226.7,61.4,186.3,40.4,226.7
2024-07-01 01:30:00,45474.0,0.0625,19.9,65.3,2263,暴雨~大雨,PID,26.6,87.0,32.0,183.0,24.299999999999997,30.5,0.15000000000000002,0.15000000000000002,0.0,0.0,51.0,1001.2,998.9,98.0,97.5,22.0,44.0,0.16,0.44,29.0,184.0,16.200000000000003,21.95,183.0,26.15,25.4,23.0,18.2,0.394,0.4045,0.395,0.296,215.0,44.7,215.0,968.6999999999999,1062.6,236.05,49.4,200.8,35.25,236.05
2024-07-01 02:00:00,45474.0,0.0833333333333333,19.9,65.8,2240,暴雨~大雨,PID,26.9,86.0,28.0,200.0,24.4,30.7,0.1,0.1,0.0,0.0,51.0,1001.3,999.0,96.0,95.0,14.0,11.0,0.17,0.48,30.6,196.0,17.1,23.2,195.0,26.3,25.4,23.0,18.2,0.394,0.404,0.395,0.296,228.0,34.7,228.0,1067.1,1148.5,245.4,37.4,215.3,30.1,245.4
2024-07-01 02:30:00,45474.0,0.104166666666667,20,66.4,2230,暴雨~大雨,PID,27.45,85.0,72.5,248.5,24.65,31.700000000000003,0.1,0.1,0.0,0.0,51.0,1001.2,998.9,79.5,52.0,18.0,29.0,0.235,0.55,30.4,194.5,15.200000000000001,20.1,194.0,26.700000000000003,25.45,23.0,18.2,0.394,0.404,0.395,0.296,321.0,81.30000000000001,321.0,1138.55,1204.65,338.4,85.35,262.4,76.0,338.4
2024-07-01 03:00:00,45474.0,0.125,20.1,67.0,2331,暴雨~大雨,PID,28.0,84.0,117.0,297.0,24.9,32.7,0.1,0.1,0.0,0.0,51.0,1001.1,998.8,63.0,9.0,22.0,47.0,0.3,0.62,30.2,193.0,13.3,17.0,193.0,27.1,25.5,23.0,18.2,0.394,0.404,0.395,0.296,414.0,127.9,414.0,1210.0,1260.8,431.4,133.3,309.5,121.9,431.4
2024-07-01 03:30:00,45474.0,0.145833333333333,20.2,67.6,2350,暴雨~大雨,PID,28.8,81.5,287.0,296.5,25.25,34.3,0.1,0.1,0.0,0.0,51.0,1000.6,998.3,81.5,54.5,18.0,23.5,0.41000000000000003,0.745,30.2,197.0,13.55,17.15,196.5,27.85,25.55,23.0,18.2,0.393,0.4035,0.395,0.296,583.5,298.45000000000005,583.5,1249.6,1283.4499999999998,597.0999999999999,304.25,304.7,292.45000000000005,597.0999999999999
2024-07-01 04:00:00,45474.0,0.166666666666667,20.3,68.3,2307,暴雨~大雨,PID,29.6,79.0,457.0,296.0,25.6,35.9,0.1,0.1,0.0,0.0,51.0,1000.1,997.8,100.0,100.0,14.0,0.0,0.52,0.87,30.2,201.0,13.8,17.3,200.0,28.6,25.6,23.0,18.2,0.392,0.403,0.395,0.296,753.0,469.0,753.0,1289.2,1306.1,762.8,475.2,299.9,463.0,762.8
2024-07-01 04:30:00,45474.0,0.1875,20.6,69.0,2367,暴雨~大雨,PID,29.9,77.0,372.0,344.5,25.5,35.9,0.05,0.05,0.0,0.0,26.5,999.75,997.5,82.0,78.5,14.5,0.5,0.505,0.9650000000000001,30.6,203.5,13.9,17.450000000000003,203.0,28.950000000000003,25.700000000000003,23.0,18.2,0.391,0.4025,0.395,0.296,716.5,380.65,716.5,1294.3000000000002,1293.6,716.5999999999999,381.65,343.65,372.95,716.5999999999999
